"STATION","NAME","DATE","TMAX","TMIN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-03","74","54"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-04","77","52"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-05","81","48"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-06","82","53"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-07","83","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-08","85","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-09","68","54"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-10","63","50"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-11","64","52"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-12","69","50"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-13","76","49"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-14","79","52"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-15","86","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-16","90","72"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-17","92","72"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-18","77","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-19","87","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-20","79","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-21","87","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-22","83","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-23","73","54"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-24","82","51"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-25","73","61"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-26","71","61"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-27","81","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-28","77","56"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-29","80","56"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-06-30","85","53"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-07-01","90","65"
