"STATION","NAME","DATE","TMAX","TMIN"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-01-22","40","21"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-01-23","37","24"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-01-24","41","23"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-01-25","51","29"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-01-26","43","28"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-01-27","29","19"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-01-28","38","26"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-01-29","65","32"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-01-30","65","29"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-01-31","35","29"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-02-01","37","32"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-02-02","34","28"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-02-03","40","27"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-02-04","39","28"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-02-05","39","32"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-02-06","43","29"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-02-07","30","10"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-02-08","27","10"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-02-09","28","6"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-02-10","10","-3"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-02-11","33","2"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-02-12","37","27"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-02-13","32","19"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-02-14","28","18"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-02-15","36","23"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-02-16","51","34"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-02-17","45","35"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-02-18","51","34"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-02-19","37","31"
