"STATION","NAME","DATE","TMAX","TMIN"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-08-17","91","75"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-08-18","94","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-08-19","94","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-08-20","95","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-08-21","97","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-08-22","96","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-08-23","94","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-08-24","93","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-08-25","87","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-08-26","89","75"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-08-27","91","75"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-08-28","92","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-08-29","87","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-08-30","87","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-08-31","91","75"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-01","90","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-02","87","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-03","90","75"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-04","91","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-05","91","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-06","92","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-07","90","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-08","89","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-09","90","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-10","93","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-11","93","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-12","89","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-13","89","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-14","84","75"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-15","87","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-16","89","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-17","89","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-18","90","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-19","89","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-20","88","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-21","91","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-22","89","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-23","89","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-24","91","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-25","89","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-26","91","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-27","89","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-28","87","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-29","87","75"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-09-30","86","75"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-01","87","71"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-02","88","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-03","87","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-04","85","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-05","85","75"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-06","88","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-07","90","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-08","90","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-09","90","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-10","90","73"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-11","89","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-12","87","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-13","89","72"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-14","86","73"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-15","88","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-16","82","71"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-17","89","73"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-18","90","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-19","87","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-20","87","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-21","88","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-22","86","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-23","87","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-24","86","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-25","88","73"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-26","88","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-10-27","86","73"
