"STATION","NAME","DATE","TMAX","TMIN"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-01","80","55"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-02","80","55"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-03","79","55"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-04","76","61"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-05","77","57"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-06","83","55"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-07","86","59"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-08","80","66"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-09","84","75"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-10","91","60"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-11","82","64"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-12","80","58"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-13","77","62"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-14","78","60"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-15","68","59"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-16","77","64"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-17","74","60"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-18","81","60"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-19","79","63"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-20","77","55"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-21","84","54"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-22","89","58"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-23","86","65"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-24","89","67"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-25","88","69"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-26","91","69"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-27","86","70"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-28","75","59"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-29","70","54"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-30","80","57"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-08-31","76","61"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-01","77","57"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-02","80","55"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-03","78","69"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-04","83","69"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-05","84","65"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-06","81","70"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-07","87","66"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-08","82","70"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-09","85","65"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-10","82","62"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-11","67","50"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-12","77","52"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-13","79","54"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-14","81","62"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-15","84","60"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-16","82","62"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-17","80","65"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-18","74","65"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-19","70","54"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-20","78","48"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-21","83","65"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-22","73","55"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-23","61","46"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-24","66","41"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-25","64","44"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-26","81","56"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-27","73","56"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-28","72","49"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-29","58","44"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-09-30","56","40"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-10-01","64","39"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-10-02","70","44"
