"STATION","NAME","DATE","TMAX","TMIN"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-05","72","56"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-06","70","54"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-07","76","55"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-08","75","58"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-09","72","62"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-10","71","58"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-11","68","54"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-12","59","52"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-13","62","50"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-14","72","46"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-15","82","49"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-18","91","57"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-19","90","61"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-20","94","70"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-21","90","69"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-22","88","57"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-23","79","56"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-24","75","50"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-25","76","59"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-26","89","57"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-27","82","61"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-28","75","56"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-29","87","58"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-30","92","68"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-05-31","95","69"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-01","93","69"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-02","83","54"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-03","87","60"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-04","82","57"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-05","71","58"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-06","76","56"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-07","74","52"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-08","71","57"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-09","76","58"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-10","79","55"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-11","64","59"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-12","70","61"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-13","80","68"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-14","85","61"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-15","83","62"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-16","85","64"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-17","93","65"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-18","88","69"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-19","92","67"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-20","82","72"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-21","92","68"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-22","96","73"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-23","87","73"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-24","91","71"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-25","90","71"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-26","97","75"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-27","99","82"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-28","92","62"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-29","79","67"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-06-30","89","70"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-07-01","92","67"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-07-02","89","62"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-07-03","90","60"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-07-04","90","68"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-07-05","93","70"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-07-06","89","60"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-07-07","89","63"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-07-08","90","67"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-07-09","79","64"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-07-10","89","65"
"USC00186350","NATIONAL ARBORETUM DC, MD US","1998-07-11","90","68"
