DATE,PCECC96
1947-01-01,1199.413
1947-04-01,1219.329
1947-07-01,1223.266
1947-10-01,1223.649
1948-01-01,1229.757
1948-04-01,1244.06
1948-07-01,1245.894
1948-10-01,1255.835
1949-01-01,1257.87
1949-04-01,1277.136
1949-07-01,1280.03
1949-10-01,1298.778
1950-01-01,1320.391
1950-04-01,1342.114
1950-07-01,1410.954
1950-10-01,1368.416
1951-01-01,1401.484
1951-04-01,1361.885
1951-07-01,1377.727
1951-10-01,1385.761
1952-01-01,1388.853
1952-04-01,1416.125
1952-07-01,1423.01
1952-10-01,1473.263
1953-01-01,1490.814
1953-04-01,1499.827
1953-07-01,1496.32
1953-10-01,1486.391
1954-01-01,1491.828
1954-04-01,1511.285
1954-07-01,1531.792
1954-10-01,1563.95
1955-01-01,1599.061
1955-04-01,1629.682
1955-07-01,1649.807
1955-10-01,1670.505
1956-01-01,1673.234
1956-04-01,1678.808
1956-07-01,1682.6
1956-10-01,1705.751
1957-01-01,1717.525
1957-04-01,1720.527
1957-07-01,1734.116
1957-10-01,1734.863
1958-01-01,1711.05
1958-04-01,1725.12
1958-07-01,1753.536
1958-10-01,1777.092
1959-01-01,1809.422
1959-04-01,1837.338
1959-07-01,1856.508
1959-10-01,1858.602
1960-01-01,1876.347
1960-04-01,1900.059
1960-07-01,1892.452
1960-10-01,1894.944
1961-01-01,1894.409
1961-04-01,1922.639
1961-07-01,1931.998
1961-10-01,1970.746
1962-01-01,1991.679
1962-04-01,2016.143
1962-07-01,2032.474
1962-10-01,2061.298
1963-01-01,2075.231
1963-04-01,2095.103
1963-07-01,2123.67
1963-10-01,2141.367
1964-01-01,2183.579
1964-04-01,2221.988
1964-07-01,2262.827
1964-10-01,2269.204
1965-01-01,2319.788
1965-04-01,2345.506
1965-07-01,2385.882
1965-10-01,2452.942
1966-01-01,2489.058
1966-04-01,2495.352
1966-07-01,2523.762
1966-10-01,2534.175
1967-01-01,2548.938
1967-04-01,2583.711
1967-07-01,2596.869
1967-10-01,2612.707
1968-01-01,2674.805
1968-04-01,2715.617
1968-07-01,2766.569
1968-10-01,2779.118
1969-01-01,2810.218
1969-04-01,2828.202
1969-07-01,2841.911
1969-10-01,2864.641
1970-01-01,2882.328
1970-04-01,2895.61
1970-07-01,2921.057
1970-10-01,2913.131
1971-01-01,2968.902
1971-04-01,2996.124
1971-07-01,3020.036
1971-10-01,3070.23
1972-01-01,3110.801
1972-04-01,3170.159
1972-07-01,3219.095
1972-10-01,3294.606
1973-01-01,3354.764
1973-04-01,3353.357
1973-07-01,3365.331
1973-10-01,3355.493
1974-01-01,3326.205
1974-04-01,3337.864
1974-07-01,3351.624
1974-10-01,3302.477
1975-01-01,3330.127
1975-04-01,3385.744
1975-07-01,3434.088
1975-10-01,3470.491
1976-01-01,3539.873
1976-04-01,3572.443
1976-07-01,3610.329
1976-10-01,3657.456
1977-01-01,3699.293
1977-04-01,3719.733
1977-07-01,3755.186
1977-10-01,3811.769
1978-01-01,3833.825
1978-04-01,3915.624
1978-07-01,3932.01
1978-10-01,3963.521
1979-01-01,3983.6
1979-04-01,3981.26
1979-07-01,4020.445
1979-10-01,4031.201
1980-01-01,4025.022
1980-04-01,3934.457
1980-07-01,3976.886
1980-10-01,4029.603
1981-01-01,4050.795
1981-04-01,4050.084
1981-07-01,4066.357
1981-10-01,4035.868
1982-01-01,4062.612
1982-04-01,4077.615
1982-07-01,4109.139
1982-10-01,4184.099
1983-01-01,4224.779
1983-04-01,4308.404
1983-07-01,4383.986
1983-10-01,4453.143
1984-01-01,4490.873
1984-04-01,4554.915
1984-07-01,4589.925
1984-10-01,4650.604
1985-01-01,4729.657
1985-04-01,4774.074
1985-07-01,4865.752
1985-10-01,4878.252
1986-01-01,4919.629
1986-04-01,4974.634
1986-07-01,5064.698
1986-10-01,5097.123
1987-01-01,5097.889
1987-04-01,5168.611
1987-07-01,5228.524
1987-10-01,5239.482
1988-01-01,5332.664
1988-04-01,5371.79
1988-07-01,5417.666
1988-10-01,5479.699
1989-01-01,5504.973
1989-04-01,5530.918
1989-07-01,5585.851
1989-10-01,5610.53
1990-01-01,5658.687
1990-04-01,5676.423
1990-07-01,5699.3
1990-10-01,5656.174
1991-01-01,5636.708
1991-04-01,5684.016
1991-07-01,5711.641
1991-10-01,5710.052
1992-01-01,5817.316
1992-04-01,5857.169
1992-07-01,5920.598
1992-10-01,5991.057
1993-01-01,6013.833
1993-04-01,6067.801
1993-07-01,6134.756
1993-10-01,6189.096
1994-01-01,6260.054
1994-04-01,6308.615
1994-07-01,6357.469
1994-10-01,6425.929
1995-01-01,6442.942
1995-04-01,6500.691
1995-07-01,6560.332
1995-10-01,6606.361
1996-01-01,6667.696
1996-04-01,6740.08
1996-07-01,6780.698
1996-10-01,6833.958
1997-01-01,6906.064
1997-04-01,6937.418
1997-07-01,7056.142
1997-10-01,7139.909
1998-01-01,7213.553
1998-04-01,7340.989
1998-07-01,7437.539
1998-10-01,7546.837
1999-01-01,7618.691
1999-04-01,7731.528
1999-07-01,7819.273
1999-10-01,7934.144
2000-01-01,8054.859
2000-04-01,8132.194
2000-07-01,8211.276
2000-10-01,8284.4
2001-01-01,8319.403
2001-04-01,8340.761
2001-07-01,8371.247
2001-10-01,8499.132
2002-01-01,8524.579
2002-04-01,8568.126
2002-07-01,8628.043
2002-10-01,8674.353
2003-01-01,8712.527
2003-04-01,8809.507
2003-07-01,8939.387
2003-10-01,9008.815
2004-01-01,9096.415
2004-04-01,9155.468
2004-07-01,9243.002
2004-10-01,9337.837
2005-01-01,9409.222
2005-04-01,9511.451
2005-07-01,9585.233
2005-10-01,9621.339
2006-01-01,9729.225
2006-04-01,9781.025
2006-07-01,9838.106
2006-10-01,9938.409
2007-01-01,9990.657
2007-04-01,10024.604
2007-07-01,10069.158
2007-10-01,10081.798
2008-01-01,10060.966
2008-04-01,10077.94
2008-07-01,10005.097
2008-10-01,9884.724
2009-01-01,9850.832
2009-04-01,9806.377
2009-07-01,9865.864
2009-10-01,9864.805
2010-01-01,9917.689
2010-04-01,9998.389
2010-07-01,10063.083
2010-10-01,10166.127
2011-01-01,10217.123
2011-04-01,10237.676
2011-07-01,10282.234
2011-10-01,10316.777
2012-01-01,10379.022
2012-04-01,10396.63
2012-07-01,10424.119
2012-10-01,10453.204
2013-01-01,10502.3
2013-04-01,10523.929
2013-07-01,10573.135
2013-10-01,10662.222
2014-01-01,10713.384
2014-04-01,10805.115
2014-07-01,10909.862
2014-10-01,11045.225
2015-01-01,11145.286
2015-04-01,11227.947
2015-07-01,11304.567
2015-10-01,11379.273
2016-01-01,11430.549
2016-04-01,11537.728
2016-07-01,11618.098
2016-10-01,11702.12
2017-01-01,11758.04
2017-04-01,11852.958
2017-07-01,11916.576
2017-10-01,12035.227
2018-01-01,12061.041
